Date;t3year;t3month;g3Y;g3m;Spread;spreadavg
01/04/1953;2.51;2.19;;;-0.14;
01/05/1953;2.72;2.16;0.08;-0.01;-0.23;
01/06/1953;2.74;2.11;0.01;-0.02;-0.26;-0.21
01/07/1953;2.62;2.04;-0.04;-0.03;-0.25;-0.25
01/08/1953;2.58;2.04;-0.02;0;-0.23;-0.25
01/09/1953;2.56;1.79;-0.01;-0.13;-0.36;-0.28
01/10/1953;2.23;1.38;-0.14;-0.26;-0.48;-0.36
01/11/1953;2.2;1.44;-0.01;0.04;-0.42;-0.42
01/12/1953;2.07;1.6;-0.06;0.11;-0.26;-0.39
01/01/1954;1.89;1.18;-0.09;-0.3;-0.47;-0.38
01/02/1954;1.63;0.97;-0.15;-0.2;-0.52;-0.42
01/03/1954;1.59;1.03;-0.02;0.06;-0.43;-0.47
01/04/1954;1.54;0.97;-0.03;-0.06;-0.46;-0.47
01/05/1954;1.56;0.76;0.01;-0.24;-0.72;-0.54
01/06/1954;1.53;0.64;-0.02;-0.17;-0.87;-0.68
01/07/1954;1.47;0.72;-0.04;0.12;-0.71;-0.77
01/08/1954;1.49;0.92;0.01;0.25;-0.48;-0.69
01/09/1954;1.6;1.01;0.07;0.09;-0.46;-0.55
01/10/1954;1.72;0.98;0.07;-0.03;-0.56;-0.50
01/11/1954;1.75;0.93;0.02;-0.05;-0.63;-0.55
01/12/1954;1.81;1.15;0.03;0.21;-0.45;-0.55
01/01/1955;1.99;1.22;0.09;0.06;-0.49;-0.53
01/02/1955;2.12;1.17;0.06;-0.04;-0.59;-0.51
01/03/1955;2.26;1.28;0.06;0.09;-0.57;-0.55
01/04/1955;2.37;1.59;0.05;0.22;-0.40;-0.52
01/05/1955;2.37;1.45;0;-0.09;-0.49;-0.49
01/06/1955;2.39;1.41;0.01;-0.03;-0.53;-0.47
01/07/1955;2.51;1.6;0.05;0.13;-0.45;-0.49
01/08/1955;2.72;1.9;0.08;0.17;-0.36;-0.45
01/09/1955;2.69;2.07;-0.01;0.09;-0.26;-0.36
01/10/1955;2.62;2.23;-0.03;0.07;-0.16;-0.26
01/11/1955;2.73;2.24;0.04;0;-0.20;-0.21
01/12/1955;2.88;2.54;0.05;0.13;-0.13;-0.16
01/01/1956;2.78;2.41;-0.04;-0.05;-0.14;-0.16
01/02/1956;2.67;2.32;-0.04;-0.04;-0.14;-0.14
01/03/1956;2.89;2.25;0.08;-0.03;-0.25;-0.18
01/04/1956;3.19;2.6;0.1;0.14;-0.20;-0.20
01/05/1956;3.08;2.61;-0.04;0;-0.17;-0.21
01/06/1956;2.95;2.49;-0.04;-0.05;-0.17;-0.18
01/07/1956;3.06;2.31;0.04;-0.08;-0.28;-0.21
01/08/1956;3.39;2.6;0.1;0.12;-0.27;-0.24
01/09/1956;3.5;2.84;0.03;0.09;-0.21;-0.25
01/10/1956;3.4;2.9;-0.03;0.02;-0.16;-0.21
01/11/1956;3.57;2.99;0.05;0.03;-0.18;-0.18
01/12/1956;3.76;3.21;0.05;0.07;-0.16;-0.16
01/01/1957;3.46;3.11;-0.08;-0.03;-0.11;-0.15
01/02/1957;3.42;3.1;-0.01;0;-0.10;-0.12
01/03/1957;3.47;3.08;0.01;-0.01;-0.12;-0.11
01/04/1957;3.53;3.07;0.02;0;-0.14;-0.12
01/05/1957;3.61;3.06;0.02;0;-0.17;-0.14
01/06/1957;3.8;3.29;0.05;0.07;-0.14;-0.15
01/07/1957;3.96;3.16;0.04;-0.04;-0.23;-0.18
01/08/1957;4.02;3.37;0.02;0.06;-0.18;-0.18
01/09/1957;4.06;3.53;0.01;0.05;-0.14;-0.18
01/10/1957;4.09;3.58;0.01;0.01;-0.13;-0.15
01/11/1957;3.7;3.31;-0.1;-0.08;-0.11;-0.13
01/12/1957;3.11;3.04;-0.17;-0.09;-0.02;-0.09
01/01/1958;2.78;2.44;-0.11;-0.22;-0.13;-0.09
01/02/1958;2.58;1.53;-0.07;-0.47;-0.52;-0.23
01/03/1958;2.4;1.3;-0.07;-0.16;-0.61;-0.42
01/04/1958;2.15;1.13;-0.11;-0.14;-0.64;-0.59
01/05/1958;2.07;0.91;-0.04;-0.22;-0.82;-0.69
01/06/1958;2.08;0.83;0;-0.09;-0.92;-0.79
01/07/1958;2.42;0.91;0.15;0.09;-0.98;-0.91
01/08/1958;3.06;1.69;0.23;0.62;-0.59;-0.83
01/09/1958;3.52;2.44;0.14;0.37;-0.37;-0.65
01/10/1958;3.67;2.63;0.04;0.07;-0.33;-0.43
01/11/1958;3.6;2.67;-0.02;0.02;-0.30;-0.33
01/12/1958;3.72;2.77;0.03;0.04;-0.29;-0.31
01/01/1959;3.91;2.82;0.05;0.02;-0.33;-0.31
01/02/1959;3.92;2.7;0;-0.04;-0.37;-0.33
01/03/1959;3.97;2.8;0.01;0.04;-0.35;-0.35
01/04/1959;4.03;2.95;0.02;0.05;-0.31;-0.34
01/05/1959;4.25;2.84;0.05;-0.04;-0.40;-0.35
01/06/1959;4.52;3.21;0.06;0.12;-0.34;-0.35
01/07/1959;4.6;3.2;0.02;0;-0.36;-0.37
01/08/1959;4.6;3.38;0;0.05;-0.31;-0.34
01/09/1959;4.97;4.04;0.08;0.18;-0.21;-0.29
01/10/1959;4.78;4.05;-0.04;0;-0.17;-0.23
01/11/1959;4.85;4.15;0.01;0.02;-0.16;-0.18
01/12/1959;5.12;4.49;0.05;0.08;-0.13;-0.15
01/01/1960;4.99;4.35;-0.03;-0.03;-0.14;-0.14
01/02/1960;4.73;3.96;-0.05;-0.09;-0.18;-0.15
01/03/1960;4.29;3.31;-0.1;-0.18;-0.26;-0.19
01/04/1960;4.27;3.23;0;-0.02;-0.28;-0.24
01/05/1960;4.46;3.29;0.04;0.02;-0.30;-0.28
01/06/1960;4.01;2.46;-0.11;-0.29;-0.49;-0.36
01/07/1960;3.63;2.3;-0.1;-0.07;-0.46;-0.42
01/08/1960;3.41;2.3;-0.06;0;-0.39;-0.45
01/09/1960;3.43;2.48;0.01;0.08;-0.32;-0.39
01/10/1960;3.53;2.3;0.03;-0.08;-0.43;-0.38
01/11/1960;3.6;2.37;0.02;0.03;-0.42;-0.39
01/12/1960;3.42;2.25;-0.05;-0.05;-0.42;-0.42
01/01/1961;3.39;2.24;-0.01;0;-0.41;-0.42
01/02/1961;3.46;2.42;0.02;0.08;-0.36;-0.40
01/03/1961;3.35;2.39;-0.03;-0.01;-0.34;-0.37
01/04/1961;3.33;2.29;-0.01;-0.04;-0.37;-0.36
01/05/1961;3.23;2.29;-0.03;0;-0.34;-0.35
01/06/1961;3.63;2.33;0.12;0.02;-0.44;-0.39
01/07/1961;3.59;2.24;-0.01;-0.04;-0.47;-0.42
01/08/1961;3.76;2.39;0.05;0.06;-0.45;-0.46
01/09/1961;3.73;2.28;-0.01;-0.05;-0.49;-0.47
01/10/1961;3.62;2.3;-0.03;0.01;-0.45;-0.47
01/11/1961;3.61;2.48;0;0.08;-0.38;-0.44
01/12/1961;3.72;2.6;0.03;0.05;-0.36;-0.40
01/01/1962;3.76;2.72;0.01;0.05;-0.32;-0.35
01/02/1962;3.69;2.73;-0.02;0;-0.30;-0.33
01/03/1962;3.45;2.72;-0.07;0;-0.24;-0.29
01/04/1962;3.38;2.73;-0.02;0;-0.21;-0.25
01/05/1962;3.4;2.69;0.01;-0.01;-0.23;-0.23
01/06/1962;3.39;2.73;0;0.01;-0.22;-0.22
01/07/1962;3.62;2.92;0.07;0.07;-0.21;-0.22
01/08/1962;3.46;2.82;-0.05;-0.03;-0.20;-0.21
01/09/1962;3.41;2.78;-0.01;-0.01;-0.20;-0.21
01/10/1962;3.33;2.74;-0.02;-0.01;-0.20;-0.20
01/11/1962;3.4;2.83;0.02;0.03;-0.18;-0.19
01/12/1962;3.37;2.87;-0.01;0.01;-0.16;-0.18
01/01/1963;3.4;2.91;0.01;0.01;-0.16;-0.17
01/02/1963;3.39;2.92;0;0;-0.15;-0.16
01/03/1963;3.41;2.89;0.01;-0.01;-0.17;-0.16
01/04/1963;3.5;2.9;0.03;0;-0.19;-0.17
01/05/1963;3.54;2.93;0.01;0.01;-0.19;-0.18
01/06/1963;3.61;2.99;0.02;0.02;-0.19;-0.19
01/07/1963;3.76;3.18;0.04;0.06;-0.17;-0.18
01/08/1963;3.77;3.32;0;0.04;-0.13;-0.16
01/09/1963;3.82;3.38;0.01;0.02;-0.12;-0.14
01/10/1963;3.87;3.45;0.01;0.02;-0.11;-0.12
01/11/1963;3.95;3.52;0.02;0.02;-0.12;-0.12
01/12/1963;4.01;3.52;0.02;0;-0.13;-0.12
01/01/1964;4.04;3.52;0.01;0;-0.14;-0.13
01/02/1964;4;3.53;-0.01;0;-0.12;-0.13
01/03/1964;4.12;3.54;0.03;0;-0.15;-0.14
01/04/1964;4.15;3.47;0.01;-0.02;-0.18;-0.15
01/05/1964;4.04;3.48;-0.03;0;-0.15;-0.16
01/06/1964;4.01;3.48;-0.01;0;-0.14;-0.16
01/07/1964;3.93;3.46;-0.02;-0.01;-0.13;-0.14
01/08/1964;3.93;3.5;0;0.01;-0.12;-0.13
01/09/1964;4.01;3.53;0.02;0.01;-0.13;-0.12
01/10/1964;4.02;3.57;0;0.01;-0.12;-0.12
01/11/1964;4.04;3.64;0;0.02;-0.10;-0.12
01/12/1964;4.08;3.84;0.01;0.05;-0.06;-0.09
01/01/1965;4.03;3.81;-0.01;-0.01;-0.06;-0.07
01/02/1965;4.08;3.93;0.01;0.03;-0.04;-0.05
01/03/1965;4.13;3.93;0.01;0;-0.05;-0.05
01/04/1965;4.12;3.93;0;0;-0.05;-0.04
01/05/1965;4.11;3.89;0;-0.01;-0.06;-0.05
01/06/1965;4.08;3.8;-0.01;-0.02;-0.07;-0.06
01/07/1965;4.09;3.84;0;0.01;-0.06;-0.06
01/08/1965;4.16;3.84;0.02;0;-0.08;-0.07
01/09/1965;4.24;3.92;0.02;0.02;-0.08;-0.07
01/10/1965;4.33;4.03;0.02;0.03;-0.07;-0.08
01/11/1965;4.45;4.09;0.03;0.01;-0.08;-0.08
01/12/1965;4.79;4.38;0.07;0.07;-0.09;-0.08
01/01/1966;4.9;4.59;0.02;0.05;-0.07;-0.08
01/02/1966;5.02;4.65;0.02;0.01;-0.08;-0.08
01/03/1966;4.97;4.59;-0.01;-0.01;-0.08;-0.07
01/04/1966;4.89;4.62;-0.02;0.01;-0.06;-0.07
01/05/1966;5;4.64;0.02;0;-0.07;-0.07
01/06/1966;5.05;4.5;0.01;-0.03;-0.12;-0.08
01/07/1966;5.26;4.8;0.04;0.06;-0.09;-0.09
01/08/1966;5.68;4.96;0.08;0.03;-0.14;-0.11
01/09/1966;5.79;5.37;0.02;0.08;-0.08;-0.10
01/10/1966;5.48;5.35;-0.06;0;-0.02;-0.08
01/11/1966;5.53;5.32;0.01;-0.01;-0.04;-0.05
01/12/1966;5.19;4.96;-0.06;-0.07;-0.05;-0.04
01/01/1967;4.75;4.72;-0.09;-0.05;-0.01;-0.03
01/02/1967;4.73;4.56;0;-0.03;-0.04;-0.03
01/03/1967;4.47;4.26;-0.06;-0.07;-0.05;-0.03
01/04/1967;4.38;3.84;-0.02;-0.1;-0.13;-0.07
01/05/1967;4.61;3.6;0.05;-0.06;-0.25;-0.14
01/06/1967;4.89;3.54;0.06;-0.02;-0.32;-0.23
01/07/1967;5.06;4.21;0.03;0.17;-0.18;-0.25
01/08/1967;5.23;4.27;0.03;0.01;-0.20;-0.24
01/09/1967;5.41;4.42;0.03;0.03;-0.20;-0.20
01/10/1967;5.52;4.56;0.02;0.03;-0.19;-0.20
01/11/1967;5.71;4.73;0.03;0.04;-0.19;-0.19
01/12/1967;5.71;4.97;0;0.05;-0.14;-0.17
01/01/1968;5.53;5;-0.03;0.01;-0.10;-0.14
01/02/1968;5.61;4.98;0.01;0;-0.12;-0.12
01/03/1968;5.8;5.17;0.03;0.04;-0.11;-0.11
01/04/1968;5.75;5.38;-0.01;0.04;-0.07;-0.10
01/05/1968;6.11;5.66;0.06;0.05;-0.08;-0.09
01/06/1968;5.82;5.52;-0.05;-0.03;-0.05;-0.07
01/07/1968;5.54;5.31;-0.05;-0.04;-0.04;-0.06
01/08/1968;5.42;5.09;-0.02;-0.04;-0.06;-0.05
01/09/1968;5.39;5.19;-0.01;0.02;-0.04;-0.05
01/10/1968;5.52;5.35;0.02;0.03;-0.03;-0.04
01/11/1968;5.57;5.45;0.01;0.02;-0.02;-0.03
01/12/1968;6.16;5.96;0.1;0.09;-0.03;-0.03
01/01/1969;6.22;6.14;0.01;0.03;-0.01;-0.02
01/02/1969;6.32;6.12;0.02;0;-0.03;-0.03
01/03/1969;6.38;6.02;0.01;-0.02;-0.06;-0.03
01/04/1969;6.25;6.11;-0.02;0.01;-0.02;-0.04
01/05/1969;6.51;6.04;0.04;-0.01;-0.07;-0.05
01/06/1969;6.83;6.44;0.05;0.06;-0.06;-0.05
01/07/1969;7.31;7;0.07;0.08;-0.04;-0.06
01/08/1969;7.29;6.98;0;0;-0.04;-0.05
01/09/1969;7.77;7.09;0.06;0.02;-0.09;-0.06
01/10/1969;7.57;7;-0.03;-0.01;-0.08;-0.07
01/11/1969;7.65;7.24;0.01;0.03;-0.06;-0.07
01/12/1969;8.1;7.82;0.06;0.08;-0.04;-0.06
01/01/1970;8.24;7.87;0.02;0.01;-0.05;-0.05
01/02/1970;7.79;7.13;-0.06;-0.1;-0.09;-0.06
01/03/1970;7.15;6.63;-0.09;-0.07;-0.08;-0.07
01/04/1970;7.39;6.51;0.03;-0.02;-0.13;-0.10
01/05/1970;7.94;6.84;0.07;0.05;-0.15;-0.12
01/06/1970;7.84;6.68;-0.01;-0.02;-0.16;-0.15
01/07/1970;7.56;6.45;-0.04;-0.04;-0.16;-0.16
01/08/1970;7.46;6.41;-0.01;-0.01;-0.15;-0.16
01/09/1970;7.11;6.12;-0.05;-0.05;-0.15;-0.15
01/10/1970;6.96;5.91;-0.02;-0.03;-0.16;-0.16
01/11/1970;6.25;5.28;-0.11;-0.11;-0.17;-0.16
01/12/1970;5.75;4.87;-0.08;-0.08;-0.17;-0.17
01/01/1971;5.61;4.44;-0.02;-0.09;-0.23;-0.19
01/02/1971;5.07;3.7;-0.1;-0.18;-0.32;-0.24
01/03/1971;4.5;3.38;-0.12;-0.09;-0.29;-0.28
01/04/1971;5.22;3.86;0.15;0.13;-0.30;-0.30
01/05/1971;5.97;4.14;0.13;0.07;-0.37;-0.32
01/06/1971;6.32;4.75;0.06;0.14;-0.29;-0.32
01/07/1971;6.74;5.4;0.06;0.13;-0.22;-0.29
01/08/1971;6.35;4.94;-0.06;-0.09;-0.25;-0.25
01/09/1971;5.89;4.69;-0.08;-0.05;-0.23;-0.23
